id	hotel	review_type	review	tokens
p1	budjet	positif	Emplacement idéal dans la vieille ville. parfait pour un court séjour quand on veut profiter de tout au coeur de l’action. Le personnel agréable et souriant m’a vraiment fait sentir chez moi. Bon resto au rez-de-chaussée. Atmosphère familiale.	parfait vieux profiter vraiment sejour action vouloir agreable souriant atmosphere resto emplacement ville ideal court rez-de-chaussee personnel coeur familiale
n1	budjet	negatif	Certains pourraient trouver l’endroit bruyant par moments. c’est vraiment au coeur de l’action. on ouvre les volets et on est littéralement sur la grande place publique.	bruyant trouver grand place ouvre vraiment coeur action public endroit litteralement moment volet
p2	budjet	positif	L’emplacement	emplacement
n2	budjet	negatif	Il manque une bouilloire	manque bouilloire
p3	budjet	positif	l'emplacement, l'accueil, le confort....idéal pour notre séjour.	confort sejour ideal accueil emplacement
n3	budjet	negatif	juste un petit détail, pas de support pour les serviettes de bain	detail serviette_de_bain petit support
p4	budjet	positif	L'emplacement et la vue sur les tours	tour vue emplacement
p5	budjet	positif	L'emplacement est très bien. Le rapport qualité prix très bien.	rapport_qualite-prix emplacement
p6	budjet	positif	emplacement génial pour se promener le long des quais et vue de rêve le matin au réveil petit déjeuner correct	reveil matin promener quai long correct genial vue reve emplacement petit-dejeuner
n6	budjet	negatif	la salle de bain de la chambre familiale est un peu biscornue et pas trés ergonomique mais pas de soucis pour une ou deux nuits	souci tres ergonomique biscornu familiale nuit chambre salle_de_bain
p7	budjet	positif	Emplacement	emplacement
n7	budjet	negatif	Une suggestion : des patères ds la salle de bain pour pendre les serviettes	patere ds suggestion serviette salle_de_bain pendre
p8	budjet	positif	L’emplacement top La taille des chambres La terrasse pour le petit-déjeuner	top taille terrasse chambre emplacement petit-dejeuner
p9	budjet	positif	Très bonne localisation.	localisation
n9	budjet	negatif	Manque la clim. Très chaud. Avons dû ouvrir les fenêtres. Bruyant même en pleine nuit en semaine	bruyant clim chaud semaine fenetre du manque nuit
p10	budjet	positif	Accueil	accueil
p11	budjet	positif	Super bien situé.	super situer
n11	budjet	negatif	Les équipements sont vétustes	equipement vetuste
p12	budjet	positif	Idéalement placé  Avec une vue exceptionnelle	place idealement exceptionnel vue
n12	budjet	negatif	Maigre Petit déjeuner …..dommage	maigre dommage petit-dejeuner
p13	budjet	positif	L'emplacement central, idéal pour sortir dans le centre	emplacement central sortir ideal centre
n13	budjet	negatif	Le quartier est bruyant la nuit mais fenêtres fermées c'est mieux	bruyant fermer fenetre quartier nuit mieux
p14	budjet	positif	Idéalement placé  Personnel très sympathique	place idealement sympathique personnel
n14	budjet	negatif	Bruyant (mais vu l’emplacement, c’est normal et prévisible, on ne peut pas tout avoir !!)	bruyant previsible normal emplacement
n15	budjet	negatif	L'absence de clim	absence clim
p16	budjet	positif	L'EMPLACEMENT	emplacement
n16	budjet	negatif	LE BRUIT EXTERIEUR	exterieur bruit
p17	budjet	positif	le personnel est très accueillant, le réceptionniste nous a d’ailleurs gentiment garder les bagages durant notre journée de visite.  l’hôtel est très bien placé, chambre avec balcon et vue sur le port. Top 👍🏼	receptionniste hotel garder personnel top bagage place gentiment vue balcon port chambre journee visiter accueillant
n17	budjet	negatif	ras	rien_a_signaler
p18	budjet	positif	La proximité du centre ville,l’accueil des propriétaires,la taille de la chambre,la propreté	proprietaire proprete proximite taille centre-ville chambre accueil
n18	budjet	negatif	On ne peut pas dormir la fenêtre ouverte on à eu un peu chaud , petit déjeuner de qualité très quelconque	chaud dormir fenetre qualite petit-dejeuner
p19	budjet	positif	l’accueil	accueil
p20	budjet	positif	Propre, calme, sèche-cheveux et très bien situé. Très bon rapport qualité/prix	rapport_qualite-prix situer propre seche-cheveux calme
p21	budjet	positif	Emplacement de l'hôtel très bien situé face au vieux port. Idéal pour se balader et profiter de l'ambiance. Disponibilité du personnel. Propreté de la chambre.	hotel ambiance personnel proprete situer chambre profiter balader ideal face disponibilite emplacement vieux_port
n21	budjet	negatif	Exiguité de la salle de bain étroite. Manque une barre pour suspendre les serviettes de toilette.. Petit déjeuner juste classique mais correct.	classique suspendre exiguite barre correct manque salle_de_bain etroite petit-dejeuner
p22	budjet	positif	Hôtel sympa et accueillant. La chambre est confortable et plutôt bien isolée. Le petit balcon est un plus. Très belle vue et idéalement placé sur le vieux port	idealement hotel petit sympa confortable place vue balcon isoler chambre vieux_port accueillant
n22	budjet	negatif	Rien de négatif	negatif
p23	budjet	positif	J'ai adoré la vue de la chambre.	chambre adorer vue
n23	budjet	negatif	Payer pour avoir un second café au petit déjeuner	second petit-dejeuner cafe payer
p24	budjet	positif	Très bon rapport Qualité Prix pour cette ville .  Vue sur le port et le canal vraiment très plaisante !	rapport_qualite-prix ville vue vraiment port plaisanter canal
p25	budjet	positif	Très bien placé : vieux port. Top pour la soirée : resto bar à proximité le tout fait à pied	pied bar top proximite place soiree resto vieux_port
p26	budjet	positif	L'accueil de Brahim et l'emplacement	accueil emplacement brahim
n26	budjet	negatif	Ras	rien_a_signaler
p27	budjet	positif	Le cadre le personnel sympathique	cadre sympathique personnel
n27	budjet	negatif	Baignoire sans bouchon et aucun porte manteau pas de quoi accrocher une serviette dans la salle de bain	bouchon porte baignoire serviette accrocher manteau salle_de_bain
p28	budjet	positif	Emplacement parfait en plein centre mais calme.  Accueil très courtois Bon confort et bon équipements : sdb à part, toilette séparée, placard penderie. Petit déjeuner très bien. A recommencer.	emplacement petit-dejeuner recommencer toilette parfait placard confort courtois equipement part penderie salle_de_bain separer accueil centre calme
p29	budjet	positif	Propreté de l'ensemble ! L'emplacement la proximité du vieux port, le petit dejeuner fort agréable au soleil !	agreable proprete proximite fort ensemble soleil petit-dejeuner emplacement vieux_port
n29	budjet	negatif	Chambre donnant sur l'écluse... qui malheureusement génère un bruit sourd et continuel tout le temps du jusant ! Il serait utile de réserver avec le calendrier des marées.	jusant donnant bruit calendrier temps generer sourd utile maree ecluse continuel reserver malheureusement chambre
p30	budjet	positif	hôtel très bien placé et aucun bruit entendu de la chambre	hotel bruit place chambre entendu
n30	budjet	negatif	il manque une bagagerie pour les personnes venant avec un autre moyen qu’une voiture. le rideau de douche n’est pas pratique	voiture moyen pratique bagagerie rideau_de_douche manque venant
p31	budjet	positif	L emplacement est le prix.	prix emplacement
n31	budjet	negatif	Chambre pas assez chaude	chambre chaude
p32	budjet	positif	L'emplacement et la vue sur le port. Très bon rapport qualité/prix. La chambre était spacieuse et propre	rapport_qualite-prix spacieux vue propre port chambre emplacement
n32	budjet	negatif	La salle de bains un peu petite notamment la douche. ( Rideau de douche)	rideau_de_douche salle_de_bain douche petit
p33	budjet	positif	L emplacement central.  Vue sur le vieux port. La qualité de la literie  Chambre spatieuse	central vue qualite chambre literie spatieuse emplacement vieux_port
n33	budjet	negatif	La salle de bain avec une baignoire.	salle_de_bain baignoire
p34	budjet	positif	l emplacement de l hotel est top. hambre propre et le personnel est vraiment tres attentionnés.	hotel hambre personnel attentionne top vraiment propre emplacement
n34	budjet	negatif	Rien	
p35	budjet	positif	L'accueil à l'arrivée et lors des petits déjeuners	arrivee accueil petit-dejeuner
p36	budjet	positif	la situation géographique face au port	geographique face port situation
n36	budjet	negatif	la manque de climatisation	climatisation manque
p37	budjet	positif	Hôtel très bien situé.	hotel situer
n37	budjet	negatif	En plein mois d'août une chambre pour 4 sans climatisation c'était pas génial, nous avons eu le choix entre étouffer de chaleur ou être dérangés par le bruit de la rue en ouvrant la fenêtre.	climatisation deranger bruit rue chaleur ouvrant choix NUM fenetre etouffer genial mois chambre aout
p38	budjet	positif	Qualité de la réception. Emplacement. Bonne isolation phonique.	reception isolation_phonique qualite emplacement
p39	budjet	positif	L'emplacement en plein centre ville vue sur le port , l'amabilité du personnel , la chambre familiale spacieuse, lit king size....	personnel amabilite lit spacieux vue familiale centre-ville port chambre emplacement kingsize
n39	budjet	negatif	L'absence de clim dans la chambre qui oblige à dormir la fenêtre ouverte et subir le bruit des animations et fêtards la nuit.... mais ceci indépendant de l'hôtel...	bruit subir hotel clim obliger independant fetard chambre dormir fenetre animation nuit absence
p40	budjet	positif	Emplacement parfait, vue sur le port depuis certaines chambres, isolation phonique parfaite	parfait isolation_phonique vue port chambre emplacement
n40	budjet	negatif	Pas de clim, et impossible de laisser la fenêtre ouverte à cause du bruit,un ventilateur serait bienvenu	bruit impossible bienvenu clim fenetre cause ventilateur
