Model	annotator_1	annotator_2	V	Chambre	Emplacement	Rapport qualité-prix	Ambiance	Personnel
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_3@mail.com	sample	0.8369624795221466	0.8455277625407069	0.7065452104648102	0.5845186008103942	0.9677266326086956
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_3@mail.com	full	0.8069800496202143	0.8402456694576068	0.6634327902283709	0.4958186924819997	0.977244691782862
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_4@mail.com	sample	0.8380487428860399	0.8545949137267544	0.6680343185672156	0.6138059731561244	0.9617610636287269
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_4@mail.com	full	0.8151679852505087	0.8452563544327306	0.7370420562989276	0.6374045488398796	0.9761805424414428
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_10@mail.com	sample	0.861381163688697	0.8866972259180771	0.7537618528355583	0.5984779029038391	0.962490612520047
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_10@mail.com	full	0.8278107280087099	0.8410953604746967	0.586888753398986	0.47785747736308976	0.9582157282101859
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_8@mail.com	sample	0.8475803582621865	0.8560447371538827	0.7206872254920821	0.5377324327095853	0.9624263608625967
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_8@mail.com	full	0.8057089530390569	0.804533548020319	0.6217698955263519	0.4443210528126842	0.9624499332420791
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_1@mail.com	sample	0.8687595159393064	0.8630928495136931	0.7583890919424157	0.6142069685086814	0.9607338232836332
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_1@mail.com	full	0.8501790347204083	0.8156815580380204	0.5750648176681697	0.5379983278956231	0.9690086338401487
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_7@mail.com	sample	0.8386360200978691	0.8471976008016177	0.7091777444349333	0.4699675779915318	0.9330164980209031
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_7@mail.com	full	0.864229780779413	0.829016897176192	0.8176726553426962	0.48739578539486533	0.9330834002092955
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_5@mail.com	sample	0.8344476816229497	0.8523600141552142	0.730052129822419	0.5127110723171	0.9543082257827266
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_5@mail.com	full	0.7748971989260948	0.7976862379178603	0.5895167633512607	0.43628428743481124	0.9458143342094824
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_6@mail.com	sample	0.8515152500311906	0.8581368638647359	0.6896942498339054	0.5271680883460139	0.9587545683129404
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_6@mail.com	full	0.7844601500819568	0.8047940876339847	0.6715838485758173	0.419460257187058	0.9650047076446816
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_9@mail.com	sample	0.8556004533283037	0.8482843847973129	0.7285496614700648	0.5204223987957741	0.9524738603431462
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_9@mail.com	full	0.751813280309111	0.8001998028458178	0.6731589149579716	0.48401602417373973	0.9602089787881907
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_12@mail.com	sample	0.8619070175455847	0.8475366977823662	0.7727315624911767	0.7165447298632847	0.9587213177421107
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_12@mail.com	full	0.8216742436822141	0.8090996966987223	0.7721210330717311	0.6542300725546979	0.9683444674376747
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_11@mail.com	sample	0.8731206636511564	0.8480017357723391	0.7435978284971183	0.5470059082964615	0.9566069647750691
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_11@mail.com	full	0.8329812634849979	0.8327117415489499	0.5821744994784525	0.4527635024914997	0.9568486024144107
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_2@mail.com	sample	0.8135042812635012	0.8406703072454319	0.7661926847768542	0.49677712224511056	0.9424892263905826
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	annotator_2@mail.com	full	0.786281305313628	0.7870238418910162	0.5574752942182126	0.4215822455978329	0.9507948292890844
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_4@mail.com	sample	0.845145403343518	0.9135902390414039	0.7521493336260515	0.6823832961040649	0.963843803836404
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_4@mail.com	full	0.8569189582460315	0.9432130796839054	0.6770130562774213	0.558169659506233	0.9686515329799422
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_10@mail.com	sample	0.9216286099285875	0.8604070359548212	0.7653311977066052	0.6786194697875382	0.9732463454831115
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_10@mail.com	full	0.9126073845715732	0.8353397125722597	0.7563403107417909	0.6458480457750418	0.9700149963393008
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_8@mail.com	sample	0.9495771566300085	0.9425742349656522	0.8250068152945561	0.775075595056652	0.9753576591117373
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_8@mail.com	full	0.9459946639313475	0.9225887504004723	0.819662856298195	0.7908572939485657	0.978566293942939
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_1@mail.com	sample	0.9137989035072741	0.947035756499615	0.7743823639755347	0.7632557618500219	0.9734714447239088
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_1@mail.com	full	0.8622992703773498	0.9157976792949135	0.7651865263217822	0.7153832135576855	0.982914240005199
