ID_Review	Sentences	EMPLACEMENT	SERVICE	NOURRITURE	AMBIANCE	RAPPORT QUALITÉ-PRIX
g1368199-d3726982-r258755756	Après le palais du facteur nous voici à la halte qui est un restaurant correct. Le patron nous accueille très chaleureusement et c'est sa femme qui cuisine. Tout n'est pas fait maison mais c'est bon. Le prix est un peu élevé pour un repas qui n'a pas nécessité toute une implication du début à la fin.	0	1	1	0	1
g1368199-d4713084-r245661593	Des pizzas locales que vous ne mangerez pas ailleurs, accommodant les spécialités du coin. Même le restaurateur d'a cote en mange une a l'occasion. Très bon accueil 	0	1	1	0	0
g1368199-d4714959-r269913736	Le cadre et le personnel sont agréables. Par contre l'attente est interminable pour une salade dont la sauce est industrielle, et des ravioles dans un bain de crème pas cuite. Berk.	0	1	1	1	0
g1368199-d6413468-r284111989	Au centre de ce tout petit village, on ne s'attendait pas à manger aussi bien sur une terrasse agréable. Service plaisant.	0	1	1	1	0
g1368199-d7186594-r271115762	Salade fanée, vin moyen, gratin de raviolis mangeable. Bonnes glaces. Terrasse négligée. C'est dommage, l'emplacement est idéal et le service plutôt sympa mais ça ne fait pas tout!	1	1	1	1	0
g147328-d1953698-r268823910	Si vous êtes en vacances, si vous avez –beaucoup- de temps à perdre tout en regardant les serveuses et serveurs (au demeurant charmants) virevolter comme des mouches ne sachant quoi faire ni pour qui faire (1 heure pour 3 côtelettes froides, et, le lendemain, ¾ d’heures pour 3 glaces jamais arrivées… !), longue attente accompagnée par une musique horripilante (boum tchic, boum tchic, sans cesse). On est rassuré « la patronne, interpellée, va faire des enquêtes » (sic), bref c’est PARFAIT. En revanche si vous voulez manger dans des temps raisonnables même avec un choix de plats quelconque, alors A FUIR. Je leur conseille rapidement un audit d’organisation. Dommage le cadre est sympa.	0	1	1	1	0
g147328-d4228366-r283209493	Un début de soirée qui commence dans un bon resto, comme les 1er fois une Virgin Colada à 6.50e pour se mettre en appétit et un accueil toujours très chaleureux du patron et de sa femme. Le pavé de Saumon est extra mais pour changer je teste la poêlée de noix de st Jacques à 22euros avec en gratin du jour (pomme de terre et patate douce ) le mariage sympathique et frites . Que du bonheur dans l'assiette, la cuisson de mes noix sont parfaites, légèrement nacrées à l'intérieur, moelleuses à souhait... la,sauce crème légère. Je pars très satisfaite de mon plat très bon. Une adresse à mettre dans mon top five. Note finale de 31e pour un cocktail, un plat et un café. Un bon rapport qualité/prix.	0	1	1	0	1
g147328-d4282840-r219144744	Bonne cuisine créole. Nous avons mangé avec nos enfants qui ont également apprécié. Le service est rapide et assez froid, mais les assiettes sont bien garnies. Le restaurant se trouvant au-dessus du marché, l'ambiance est garantie. L'apéro est étonnant : on vous sert une bouteille de 1 litre de rhum et une bouteille de sucre canne liquide. De quoi égayer la journée...	1	1	1	1	0
g147328-d6901743-r277407407	Venu sans conviction, nous avons choisi de tester la nouvelle cuisine du bar'oc. Nous avons vécu une expérience culinaire hors du commun. Un service impeccable et des cocktails ahurissant. Mais le summum fut l'arrivée des entrées. Le foi gras est le meilleur de l'île. Le carpaccio de st jacques sauvages est divin. Puis est arrivée la pluma de pata negra avec son incroyable purée a l'huile de truffe. Merci rodolphe pour ce repas incroyable. A vivre absolument.	0	1	1	0	0
g147328-d7732677-r282059333	"La carte est -au premier abord- plutôt attrayante, mais c'est sans compter sur l'indisponibilité de nombreux aliments (lambi, marlin et thon ce soir là), et les prix hallucinants d'autres (notamment les ""plateaux"" de fruits de mer, qui ne sont en fait que de petites assiettes). Mon choix s'est donc porté sur des pâtes aux fruits de mer (2 moules surcuites, 3 saint jacques décongelées, et beaucoup trop d'ail). Salle très bruyante (on n'arrivait plus à s'entendre), mais service efficace."	0	1	1	1	1
