Topic	annotator_1	annotator_2	sbert	w2v
Chambre	annotator_1@mail.com	annotator_2@mail.com	0.8801875	0.41525197
Chambre	annotator_1@mail.com	annotator_3@mail.com	0.9465555	0.6884645
Chambre	annotator_1@mail.com	annotator_4@mail.com	0.86438876	0.13120072
Chambre	annotator_1@mail.com	annotator_5@mail.com	0.90009445	-0.0029675341
Chambre	annotator_1@mail.com	annotator_6@mail.com	0.8700042	0.2797198
Chambre	annotator_1@mail.com	annotator_7@mail.com	0.90116215	0.5816946
Chambre	annotator_1@mail.com	annotator_8@mail.com	0.93778014	0.79069024
Chambre	annotator_1@mail.com	annotator_9@mail.com	0.89950913	0.4239186
Chambre	annotator_1@mail.com	annotator_10@mail.com	0.892122	0.05650778
Chambre	annotator_1@mail.com	annotator_11@mail.com	0.8586729	0.24741921
Chambre	annotator_1@mail.com	annotator_12@mail.com	0.88042283	0.47669792
Chambre	annotator_1@mail.com	annotator_13@mail.com	0.8820469	0.14396563
Chambre	annotator_2@mail.com	annotator_3@mail.com	0.8969954	0.56332654
Chambre	annotator_2@mail.com	annotator_4@mail.com	0.9075062	0.49729598
Chambre	annotator_2@mail.com	annotator_5@mail.com	0.88502043	0.23895086
Chambre	annotator_2@mail.com	annotator_6@mail.com	0.92447555	0.6404395
Chambre	annotator_2@mail.com	annotator_7@mail.com	0.91165763	0.4083123
Chambre	annotator_2@mail.com	annotator_8@mail.com	0.9068888	0.49036866
Chambre	annotator_2@mail.com	annotator_9@mail.com	0.9143899	0.43874595
Chambre	annotator_2@mail.com	annotator_10@mail.com	0.9210199	0.18636797
Chambre	annotator_2@mail.com	annotator_11@mail.com	0.9065002	0.4412316
Chambre	annotator_2@mail.com	annotator_12@mail.com	0.90551245	0.436915
Chambre	annotator_2@mail.com	annotator_13@mail.com	0.9037874	0.5642484
Chambre	annotator_3@mail.com	annotator_4@mail.com	0.86210847	0.2835571
Chambre	annotator_3@mail.com	annotator_5@mail.com	0.9015493	-0.03173207
Chambre	annotator_3@mail.com	annotator_6@mail.com	0.88039505	0.47607994
Chambre	annotator_3@mail.com	annotator_7@mail.com	0.90559125	0.52412605
Chambre	annotator_3@mail.com	annotator_8@mail.com	0.92942834	0.5762016
Chambre	annotator_3@mail.com	annotator_9@mail.com	0.90221524	0.45896393
Chambre	annotator_3@mail.com	annotator_10@mail.com	0.8991478	-0.00041907327
Chambre	annotator_3@mail.com	annotator_11@mail.com	0.88345253	0.44356966
Chambre	annotator_3@mail.com	annotator_12@mail.com	0.87344027	0.40128955
Chambre	annotator_3@mail.com	annotator_13@mail.com	0.8767071	0.3129482
Chambre	annotator_4@mail.com	annotator_5@mail.com	0.8577855	-0.11736388
Chambre	annotator_4@mail.com	annotator_6@mail.com	0.9113424	0.4737055
Chambre	annotator_4@mail.com	annotator_7@mail.com	0.90920496	0.38458186
Chambre	annotator_4@mail.com	annotator_8@mail.com	0.8879497	0.24737692
Chambre	annotator_4@mail.com	annotator_9@mail.com	0.9062538	0.57926345
Chambre	annotator_4@mail.com	annotator_10@mail.com	0.9008037	0.14701103
Chambre	annotator_4@mail.com	annotator_11@mail.com	0.90196186	0.5052167
Chambre	annotator_4@mail.com	annotator_12@mail.com	0.9184116	0.48290625
Chambre	annotator_4@mail.com	annotator_13@mail.com	0.9242296	0.688421
Chambre	annotator_5@mail.com	annotator_6@mail.com	0.8905209	0.040920787
Chambre	annotator_5@mail.com	annotator_7@mail.com	0.88234264	0.031646885
Chambre	annotator_5@mail.com	annotator_8@mail.com	0.91738045	0.084466875
Chambre	annotator_5@mail.com	annotator_9@mail.com	0.8625582	-0.046489067
Chambre	annotator_5@mail.com	annotator_10@mail.com	0.88395226	0.38772434
Chambre	annotator_5@mail.com	annotator_11@mail.com	0.8793502	0.00019856758
Chambre	annotator_5@mail.com	annotator_12@mail.com	0.8755361	0.024393195
Chambre	annotator_5@mail.com	annotator_13@mail.com	0.87189925	-0.14599931
Chambre	annotator_6@mail.com	annotator_7@mail.com	0.888536	0.37976775
Chambre	annotator_6@mail.com	annotator_8@mail.com	0.89430726	0.33088547
Chambre	annotator_6@mail.com	annotator_9@mail.com	0.8836109	0.35604998
Chambre	annotator_6@mail.com	annotator_10@mail.com	0.90681005	0.007515136
Chambre	annotator_6@mail.com	annotator_11@mail.com	0.9010915	0.35128933
Chambre	annotator_6@mail.com	annotator_12@mail.com	0.90187234	0.34914812
Chambre	annotator_6@mail.com	annotator_13@mail.com	0.9072865	0.7131175
Chambre	annotator_7@mail.com	annotator_8@mail.com	0.91508317	0.6790174
Chambre	annotator_7@mail.com	annotator_9@mail.com	0.91622764	0.55268264
Chambre	annotator_7@mail.com	annotator_10@mail.com	0.91832066	0.23147267
Chambre	annotator_7@mail.com	annotator_11@mail.com	0.8889233	0.28364262
Chambre	annotator_7@mail.com	annotator_12@mail.com	0.8990009	0.6248299
Chambre	annotator_7@mail.com	annotator_13@mail.com	0.89573205	0.38419527
Chambre	annotator_8@mail.com	annotator_9@mail.com	0.8994004	0.5096276
Chambre	annotator_8@mail.com	annotator_10@mail.com	0.9029068	0.26698315
Chambre	annotator_8@mail.com	annotator_11@mail.com	0.89108026	0.31412938
Chambre	annotator_8@mail.com	annotator_12@mail.com	0.9082979	0.6196569
Chambre	annotator_8@mail.com	annotator_13@mail.com	0.9150478	0.1904524
Chambre	annotator_9@mail.com	annotator_10@mail.com	0.9358206	0.24592572
Chambre	annotator_9@mail.com	annotator_11@mail.com	0.8983233	0.36446664
Chambre	annotator_9@mail.com	annotator_12@mail.com	0.9100488	0.57353073
Chambre	annotator_9@mail.com	annotator_13@mail.com	0.9066192	0.43694836
Chambre	annotator_10@mail.com	annotator_11@mail.com	0.8922552	0.17737111
Chambre	annotator_10@mail.com	annotator_12@mail.com	0.90106004	0.33784378
Chambre	annotator_10@mail.com	annotator_13@mail.com	0.8884102	-0.062996164
Chambre	annotator_11@mail.com	annotator_12@mail.com	0.8907144	0.3797852
